VEHICLE_NAME,VEHICLE_TID,ORGUNIT_NAME,VEHICLE_MODEL,VEHICLE_ID,ORGUNIT_ID,OPD_DATE
2500,2500,GoBus,45AC,2500,1844976,15-AUG-22
2600,2600,GoBus,MCI,2600,1844976,17-JAN-23
8300,8300,GoBus,DDS,8300,1844976,22-MAR-23
8400,8400,GoBus,DDS,8400,1844976,17-JAN-23
8500,8500,GoBus,DDS,8500,1844976,22-MAR-23
2171,2171,GoBus,45AC,2171,1844976,28-DEC-20
2227,2227,GoBus,45AC,2227,1844976,23-SEP-21
2274,2274,GoBus,45AC,2274,1844976,11-FEB-21
2421,2421,GoBus,45AC,2421,1844976,08-OCT-20
2426,2426,GoBus,45AC,2426,1844976,21-JUN-22
2432,2432,GoBus,MCI,2432,1844976,22-MAR-23
2433,2433,GoBus,MCI,2433,1844976,22-FEB-23
2434,N/A (id=2434),GoBus,<NULL>,2434,1844976,04-FEB-23
2437,2437,GoBus,MCI,2437,1844976,17-JAN-23
2438,2438,GoBus,MCI,2438,1844976,07-FEB-23
2439,2439,GoBus,MCI,2439,1844976,21-FEB-23
2441,2441,GoBus,MCI,2441,1844976,20-MAR-23
2442,2442,GoBus,MCI,2442,1844976,04-FEB-23
2444,2444,GoBus,45AC,2444,1844976,07-APR-22
2445,2445,GoBus,45AC,2445,1844976,17-AUG-22
2446,2446,GoBus,MCI,2446,1844976,09-MAR-23
2447,2447,GoBus,45AC,2447,1844976,28-MAY-21
2448,2448,GoBus,MCI,2448,1844976,22-FEB-23
2449,2449,GoBus,MCI,2449,1844976,22-MAR-23
2450,2450,GoBus,MCI,2450,1844976,22-MAR-23
2451,2451,GoBus,MCI,2451,1844976,25-FEB-23
2452,2452,GoBus,MCI,2452,1844976,07-FEB-23
2453,2453,GoBus,MCI,2453,1844976,22-MAR-23
2454,2454,GoBus,45AC,2454,1844976,17-AUG-22
2455,2455,GoBus,MCI,2455,1844976,22-FEB-23
2456,2456,GoBus,MCI,2456,1844976,15-MAR-23
2457,2457,GoBus,MCI,2457,1844976,25-FEB-23
2458,2458,GoBus,MCI,2458,1844976,22-MAR-23
2459,2459,GoBus,45AC,2459,1844976,17-AUG-22
2460,2460,GoBus,MCI,2460,1844976,22-FEB-23
2461,2461,GoBus,MCI,2461,1844976,25-FEB-23
2462,2462,GoBus,MCI,2462,1844976,22-FEB-23
2463,2463,GoBus,MCI,2463,1844976,25-FEB-23
2464,2464,GoBus,MCI,2464,1844976,07-FEB-23
2465,2465,GoBus,MCI,2465,1844976,22-FEB-23
2466,2466,GoBus,MCI,2466,1844976,09-MAR-23
2467,2467,GoBus,MCI,2467,1844976,21-FEB-23
2468,2468,GoBus,MCI,2468,1844976,22-FEB-23
2469,2469,GoBus,45AC,2469,1844976,10-MAY-22
2470,2470,GoBus,MCI,2470,1844976,22-MAR-23
2471,2471,GoBus,MCI,2471,1844976,09-MAR-23
2472,2472,GoBus,MCI,2472,1844976,25-FEB-23
2473,2473,GoBus,MCI,2473,1844976,22-MAR-23
2474,2474,GoBus,MCI,2474,1844976,22-MAR-23
2477,2477,GoBus,MCI,2477,1844976,09-MAR-23
2478,2478,GoBus,MCI,2478,1844976,21-FEB-23
2479,2479,GoBus,MCI,2479,1844976,22-MAR-23
2480,2480,GoBus,MCI,2480,1844976,25-FEB-23
2481,2481,GoBus,MCI,2481,1844976,22-MAR-23
2482,2482,GoBus,MCI,2482,1844976,17-JAN-23
2483,2483,GoBus,MCI,2483,1844976,09-MAR-23
2484,2484,GoBus,MCI,2484,1844976,22-MAR-23
2485,2485,GoBus,MCI,2485,1844976,09-MAR-23
2486,2486,GoBus,MCI,2486,1844976,25-FEB-23
2487,2487,GoBus,MCI,2487,1844976,09-MAR-23
2488,2488,GoBus,MCI,2488,1844976,22-FEB-23
2489,2489,GoBus,45AC,2489,1844976,14-SEP-22
2490,2490,GoBus,MCI,2490,1844976,16-DEC-22
2491,2491,GoBus,MCI,2491,1844976,22-MAR-23
2492,2492,GoBus,MCI,2492,1844976,25-FEB-23
2493,2493,GoBus,MCI,2493,1844976,07-FEB-23
2494,2494,GoBus,MCI,2494,1844976,18-MAR-23
2497,2497,GoBus,MCI,2497,1844976,22-FEB-23
2498,2498,GoBus,MCI,2498,1844976,22-FEB-23
2499,2499,GoBus,45AC,2499,1844976,17-AUG-22
2501,2501,GoBus,45AC,2501,1844976,23-JUL-22
2502,2502,GoBus,MCI,2502,1844976,17-JAN-23
2503,2503,GoBus,45AC,2503,1844976,19-JUN-22
2504,2504,GoBus,45AC,2504,1844976,17-AUG-22
